date,side,price,qty,pnl
2021-09-20,BUY,67.71,117,
2022-05-09,BUY,32.56,532,
2022-05-12,BUY,27.43,9,
2022-06-17,BUY,22.07,30,
2022-06-21,BUY,23.815,20,
2022-10-03,BUY,19.705,886,
2025-03-10,BUY,64.0,132,
2025-04-03,BUY,52.43,63,
2023-06-15,SELL,39.74,886,17751.010000000002
2023-07-14,SELL,44.22,30,664.5
2023-12-14,SELL,49.25,20,508.7
2024-01-22,SELL,55.41,9,251.81999999999996
2024-05-23,SELL,66.5,532,18056.079999999998
