year,trades,wins,losses,win_rate,gross_profit,gross_loss,net_pnl
2021,15,8,7,0.5333333333333333,4241.2054999999955,2419.3894999999984,1821.8159999999978
2022,100,69,31,0.69,56153.92100000001,13663.925999999985,42489.99500000002
2023,14,11,3,0.7857142857142857,6075.630000000003,647.072999999999,5428.5570000000025
2024,20,11,9,0.55,15210.1025,3358.1830000000073,11851.919499999996
2025,5,3,2,0.6,11137.755999999994,1560.4814999999999,9577.274499999996
ALL,154,102,52,0.6623376623376623,92818.61499999999,21649.052999999993,71169.562
