date,signal,rule_fg,rule_drawdown,rule_momentum,fg_value,Open,ret_10d,drawdown_60d,vol_20d
2021-07-26,0,0,0,0,30.7,367.49,,0.0,
2021-07-27,0,0,0,0,27.366666666667,368.22,,0.0,
2021-07-28,0,0,0,0,27.466666666667,365.6,,-0.007115311498560706,
2021-07-29,0,0,0,0,30.433333333333,365.25,,-0.008065830210200464,
2021-07-30,0,0,0,0,26.466666666667,362.44,,-0.015697137580794163,
2021-08-02,0,0,0,0,24.366666666667,366.28,,-0.005268589430232118,
2021-08-03,0,0,0,0,29.8,365.28,,-0.007984357177774348,
2021-08-04,0,0,0,0,27.333333333333,366.77,,-0.003937863233936412,
2021-08-05,0,0,0,0,32.533333333333,368.18,,-0.00010863070990174695,
2021-08-06,0,0,0,0,32.533333333333,368.37,,0.0,
2021-08-09,0,0,0,0,32.0,368.52,0.0028027973550299734,0.0,0.08620004555171631
2021-08-10,0,0,0,0,34.266666666667,369.26,0.0028243984574438663,0.0,0.08218741968764828
2021-08-11,0,0,0,0,35.6,368.14,0.006947483588621406,-0.003033093213453908,0.07997085568351509
2021-08-12,0,0,0,0,38.966666666667,365.69,0.0012046543463382076,-0.009667984617884429,0.08223396825407397
2021-08-13,0,0,0,0,41.433333333333,367.89,0.015036971636684715,-0.0037101229485999587,0.08351773360014286
2021-08-16,0,0,0,0,46.766666666667,367.67,0.003794910997051648,-0.004305909115528306,0.08052917147041949
2021-08-17,0,0,0,0,36.733333333333,366.15,0.00238173455978985,-0.008422249905215895,0.0795465185631218
2021-08-18,0,0,0,0,20.592783505155,365.18,-0.00433514191455131,-0.011049125277582172,0.07758797487103074
2021-08-19,0,0,0,0,19.112925170068,360.22,-0.021619859851159662,-0.024481395222878066,0.09007522698225467
2021-08-20,0,0,0,0,24.433333333333,365.06,-0.008985530852132384,-0.01137409955045221,0.10228928783780943
2021-08-23,0,0,0,0,28.166666666667,368.8,0.0007597959405190036,-0.0012457347126685336,0.10640160594033916
2021-08-24,0,0,0,0,33.966666666667,373.84,0.012403184747874052,0.0,0.11659233170603188
2021-08-25,0,0,0,0,38.9,374.63,0.017629162818493027,0.0,0.11284194717539839
2021-08-26,0,0,0,0,33.733333333333,373.92,0.022505400749268656,-0.0018952032672235886,0.1131334161513664
2021-08-27,0,0,0,0,44.766666666667,373.07,0.014080295740574567,-0.004164108587139337,0.10904584946632319
2021-08-30,0,0,0,0,49.966666666667,376.85,0.02496804199417957,0.0,0.10854345397841218
2021-08-31,0,0,0,0,45.3,380.51,0.039218899358186565,0.0,0.11114887788623551
2021-09-01,0,0,0,0,47.133333333333,381.04,0.04343063694616367,0.0,0.11091291319037164
2021-09-02,0,0,0,0,46.966666666667,381.97,0.060379767919604754,0.0,0.11070387421344696
2021-09-03,0,0,0,0,44.6,379.22,0.038788144414616754,-0.007199518286776452,0.11524388189841778
2021-09-07,0,0,0,0,42.9,381.68,0.0349240780911062,-0.0007592219284237034,0.11650875367474324
2021-09-08,0,0,0,0,38.866666666667,381.93,0.02164027391397405,-0.00010472026598951079,0.1165728305980064
2021-09-09,0,0,0,0,34.466666666667,381.01,0.017030136401249285,-0.0025132863837474817,0.11625630245681634
2021-09-10,0,0,0,0,23.068686868687,381.23,0.019549636285836502,-0.001937324920805339,0.11208500723230516
2021-09-13,0,0,0,0,28.466666666667,378.99,0.01586833570107493,-0.0078016598162159445,0.11450620649241133
2021-09-14,0,0,0,0,24.2,377.86,0.0026801114501791012,-0.010760007330418708,0.11539789931009532
2021-09-15,0,0,0,0,27.9,375.73,-0.012562087724369841,-0.016336361494358242,0.1164709036629944
2021-09-16,0,0,0,0,31.333333333333,376.68,-0.011442368255301316,-0.013849255177108222,0.11557862122793039
2021-09-17,0,0,0,0,22.933333333333,377.82,-0.010864727596408219,-0.010864727596408219,0.10077482825553895
2021-09-20,1,1,0,0,12.291749174918,367.46,-0.03101102262538913,-0.03798727648768241,0.13869100679879137
2021-09-21,1,1,0,0,13.829411764706,367.58,-0.0369419408928946,-0.03767311568971399,0.1336978979750413
2021-09-22,0,0,0,0,20.4,367.09,-0.03885528761815005,-0.03895593894808502,0.12336981096571194
2021-09-23,0,0,0,0,23.533333333333,370.76,-0.02690218104511688,-0.0293478545435506,0.1289562400143713
2021-09-24,0,0,0,0,24.766666666667,370.65,-0.027752275529208226,-0.029635835275021782,0.12884957982716616
2021-09-27,0,0,0,0,25.3,370.2,-0.023193224095622633,-0.030813938267403307,0.1287009376277916
2021-09-28,0,0,0,0,15.33139158576,365.67,-0.03226062562853971,-0.04267350839071138,0.1290197717057463
2021-09-29,0,0,0,0,15.532692307692,361.17,-0.03875123093710908,-0.05445453831452729,0.1273650034687067
2021-09-30,1,1,0,0,12.950793650794,360.97,-0.041706488265902064,-0.05497813964447473,0.1267468315939341
2021-10-01,1,0,0,1,18.466666666667,358.6,-0.05087078502990838,-0.06118281540435111,0.1259584683489128
2021-10-04,1,1,0,0,12.764150943396,358.52,-0.024329178686115505,-0.06139225593633024,0.12539584589934574
2021-10-05,0,0,0,0,18.7,353.71,-0.03773328255073727,-0.07398486792156467,0.1258042887796946
2021-10-06,0,0,0,0,19.5,354.08,-0.03544090005175837,-0.07301620546116194,0.1259941492310754
2021-10-07,0,0,0,0,23.766666666667,362.8,-0.02146941417628645,-0.05018718747545625,0.16138494870845047
2021-10-08,0,0,0,0,25.533333333333,364.08,-0.01772561715904486,-0.04683613896379313,0.16244254166118952
2021-10-11,0,0,0,0,24.133333333333,359.58,-0.028687196110210755,-0.05861716888760904,0.1659552623963999
2021-10-12,0,0,0,0,24.6,359.88,-0.01583394864221843,-0.057831766892687986,0.16638293345214136
2021-10-13,0,0,0,0,24.533333333333,359.51,-0.004596173547083193,-0.0588004293530906,0.16599105554534413
2021-10-14,0,0,0,0,29.766666666667,363.69,0.007535252237028001,-0.04785716155719044,0.17241145001424418
2021-10-15,0,0,0,0,41.066666666667,367.88,0.025878416062464993,-0.03688771369479282,0.17804258822806926
2021-10-18,0,0,0,0,46.8,367.61,0.025354234073412973,-0.03759457549022183,0.1488702968218852
2021-10-19,0,0,0,0,53.6,373.75,0.056656583076531764,-0.021520014660837306,0.16017564577125581
2021-10-20,0,0,0,0,57.3,375.94,0.061737460460912885,-0.01578658009791356,0.16089030229906395
2021-10-21,0,0,0,0,60.333333333333,374.16,0.03131201764057345,-0.02044663193444507,0.15873935684020202
2021-10-22,0,0,0,0,59.466666666667,375.98,0.03268512414853886,-0.01568185983192405,0.15944966643865127
2021-10-25,0,0,0,0,62.8,375.56,0.04444073641470614,-0.016781422624813525,0.15943409401915415
2021-10-26,0,0,0,0,63.2,380.23,0.05654662665332899,-0.00455533157054222,0.15677578532435055
2021-10-27,0,0,0,0,58.3,379.58,0.05582598536897443,-0.006257035892871299,0.14822982215546246
2021-10-28,0,0,0,0,64.566666666667,381.95,0.050207594379829024,-5.2360132994810904e-05,0.14831795131854109
2021-10-29,0,0,0,0,65.566666666667,381.06,0.03582690007611178,-0.002382386051260621,0.14547899624904576
2021-11-01,0,0,0,0,66.4,386.56,0.05154919615897269,0.0,0.1502861072096439
2021-11-02,0,0,0,0,68.5,386.8,0.03491638795986618,0.0,0.1365747538140131
2021-11-03,0,0,0,0,72.6,389.55,0.036202585518965824,0.0,0.1362267709414329
2021-11-04,0,0,0,0,72.733333333333,394.48,0.05430831729741281,0.0,0.11863143895329571
2021-11-05,0,0,0,0,73.733333333333,400.04,0.06399276557263689,0.0,0.12363644382901293
2021-11-08,0,0,0,0,74.5,398.57,0.06126850569815745,-0.0036746325367463806,0.11088126545061912
2021-11-09,0,0,0,0,77.457142857143,399.16,0.0497856560502854,-0.0021997800219978325,0.11056846131349352
2021-11-10,0,0,0,0,73.628571428571,392.47,0.03395858580536393,-0.01892310768923111,0.13397608765005795
2021-11-11,0,0,0,0,72.857142857143,392.57,0.02780468647728762,-0.01867313268673143,0.1319388348907514
2021-11-12,0,0,0,0,74.314285714286,391.77,0.028105810108644214,-0.02067293270672943,0.13026576713769078
2021-11-15,0,0,0,0,72.514285714286,395.91,0.024187706953642474,-0.010323967603239614,0.13192529310106826
2021-11-16,0,0,0,0,72.971428571429,393.86,0.01825232678386768,-0.015448455154484564,0.1261650243736901
2021-11-17,0,0,0,0,71.142857142857,397.75,0.021049929405724477,-0.005724427557244338,0.1283063968965293
2021-11-18,0,0,0,0,68.371428571429,399.73,0.013308659501115372,-0.0007749225077492428,0.12528289958763203
2021-11-19,0,0,0,0,63.914285714286,403.43,0.008474152584741601,0.0,0.1269503744442251
2021-11-22,0,0,0,0,59.714285714286,405.57,0.017562786963394084,0.0,0.1258542598084862
2021-11-23,0,0,0,0,59.0,398.11,-0.0026305241006112645,-0.018393865423971145,0.14428924144152036
2021-11-24,0,0,0,0,59.114285714286,394.93,0.0062679950059876255,-0.026234682052419966,0.14829146752600147
2021-11-26,0,0,0,0,33.021361815754,396.11,0.00901750006368296,-0.02332519663683208,0.14751145157866358
