n_trades,mean,median,win_rate_pct,p5,p25,p75,p95,min,max,threshold
7,-0.5530473803076659,-0.631064967105263,0.0,-0.7276225774918874,-0.6662304499014458,-0.45131629226205855,-0.31757986333802496,-0.7441976009652921,-0.26097560975609757,-0.1
28,-0.542277770331038,-0.6047803871669255,7.142857142857142,-0.7404627189677464,-0.6464753922571428,-0.5428638658571088,-0.07228787914758882,-0.7676474943413788,0.05642602142007136,-0.07
72,-0.5070674506058951,-0.5808740936385901,5.555555555555555,-0.7744893560515409,-0.6883689327482829,-0.3537406259471251,-0.009652834308513512,-0.7919723349391329,0.08571137382796579,-0.03
