model,coverage,val_thr,val_AUC,val_P,val_R,val_C,test_thr,test_AUC,test_P,test_R,test_C
lgbm,0.05,0.4677297505765126,0.15857263513513511,0.0,0.0,0.05454545454545454,0.48800463280713335,0.4236329352608423,0.3333333333333333,0.08108108108108109,0.05421686746987952
xgb,0.05,0.5001156059606807,0.17124155405405406,0.0,0.0,0.05454545454545454,0.5225429180065029,0.5084852294154619,0.1111111111111111,0.02702702702702703,0.05421686746987952
extratrees,0.05,0.5608333333333332,0.7177998310810811,0.4444444444444444,0.10810810810810811,0.05454545454545454,0.6652083333333333,0.4936098889587262,0.0,0.0,0.05421686746987952
lgbm,0.1,0.46277897895830034,0.15857263513513511,0.0,0.0,0.10303030303030303,0.4770511352698198,0.4236329352608423,0.29411764705882354,0.13513513513513514,0.10240963855421686
xgb,0.1,0.4780768775757236,0.17124155405405406,0.0,0.0,0.10303030303030303,0.5146606121676338,0.5084852294154619,0.11764705882352941,0.05405405405405406,0.10240963855421686
extratrees,0.1,0.521,0.7177998310810811,0.5294117647058824,0.24324324324324326,0.10303030303030303,0.5095833333333333,0.4936098889587262,0.0,0.0,0.10240963855421686
lgbm,0.15,0.45047791698826134,0.15857263513513511,0.0,0.0,0.15151515151515152,0.45487976653508366,0.4236329352608423,0.28,0.1891891891891892,0.15060240963855423
xgb,0.15,0.463381723912306,0.17124155405405406,0.08,0.05405405405405406,0.15151515151515152,0.5083991415586772,0.5084852294154619,0.08,0.05405405405405406,0.15060240963855423
extratrees,0.15,0.5056666666666667,0.7177998310810811,0.52,0.35135135135135137,0.15151515151515152,0.4947916666666667,0.4936098889587262,0.04,0.02702702702702703,0.15060240963855423
