,vol20d,hyig_diff_bps,FGI,ig_level_pct,dxy_ma_gap20,vix_ma_gap20,hy_vol_20d_bps,fgi_hyig_inter,yc_slope_sq,vix_yc_inter,dxy_vix_inter
2022-07-11,0.2096817909673022,-0.15254313421953322,0.15135723106448862,0.17059258960318846,-0.062095083522839364,0.008205421751232343,0.059212256667442585,-0.14592367042118867,-0.22090950289822853,-0.24128421639087125,-0.07273995498389754
2022-07-12,0.20225255776010534,-0.16069383112431357,0.15191165315629993,0.15805238809634187,-0.06963520080775557,0.011864596315971093,0.0492326628470871,-0.15235495680753283,-0.2093752306060787,-0.22941959729444514,-0.07983653595793631
2022-07-13,0.19571039717466332,-0.16784683691947386,0.15191165315629993,0.1455128655744334,-0.07928211556933953,0.01718703204650018,0.039253069026731605,-0.1577882849615133,-0.1981734772914544,-0.2167787881636734,-0.0889290303309235
2022-07-14,0.18972265697781812,-0.1752211683760081,0.15191165315629993,0.13297396800721242,-0.09014875518583641,0.020291786222642147,0.029273475206376114,-0.1636651501076554,-0.18869157684666996,-0.20447063190476403,-0.0990194814033849
2022-07-15,0.18595259833536001,-0.18287288083952832,0.15468376361535652,0.11993605948021595,-0.10301130820128171,0.022287699621590554,0.019626534513365802,-0.1703182049900804,-0.17793454895708605,-0.19238424422709632,-0.11099496179707535
2022-07-18,0.1816281193043051,-0.19013667286276392,0.15545995454389236,0.10689866822218957,-0.1138779478177786,0.026501294574926084,0.009757825068792036,-0.17575153314406083,-0.168174949866445,-0.1802978565494286,-0.1209745287918174
2022-07-19,0.17730364027325027,-0.19584779342836148,0.15479464803371878,0.09474797380673365,-0.12308132626848517,0.03259991884949066,-0.00011088437578172768,-0.17918894483331374,-0.15808355642325073,-0.16787881599989846,-0.12995613908708523
2022-07-20,0.17220297269815985,-0.20045002867996553,0.15479464803371878,0.08270903365591212,-0.12917995054304973,0.035815557103351985,-0.009979591904233072,-0.18373519900297086,-0.14876781533582886,-0.1564577340659556,-0.13583299520621112
2022-07-21,0.16699142104535014,-0.20505229977734904,0.15124634664612635,0.07072602128097351,-0.13461327035129816,0.0388094272017746,-0.019737415099483187,-0.18706172644418337,-0.13917539137204948,-0.1452584207132543,-0.14137719909217888
2022-07-22,0.16286977607864228,-0.19938546330591683,0.1543302322986578,0.06974236520931872,-0.13824799174806102,0.032551773428043246,-0.017190931666062257,-0.1836100295940466,-0.13859676592827275,-0.1474537167533603,-0.14479161911519747
2022-07-25,0.15854432748002664,-0.20515310495686384,0.15233386565735285,0.057702014709290574,-0.13791526493278292,0.032884500243321374,-0.026618216773257684,-0.18749184840153174,-0.12800388329637283,-0.13636280161583791,-0.14479161911519747
2022-07-26,0.15421887888141103,-0.21092112953526718,0.15122477307885013,0.04555103935176899,-0.1342552699647235,0.03310631812017346,-0.035934592643897874,-0.19248275829686975,-0.11691193934946359,-0.12482824987281461,-0.14135344202399017
2022-07-27,0.15055888391335165,-0.2167998278401908,0.15078113604744903,0.03323373875549335,-0.13325708951888915,0.03144268404378283,-0.04514005927798282,-0.19825003195370483,-0.10581972498993195,-0.11285003985665494,-0.14124253308556414
2022-07-28,0.14479161911519747,-0.2223458708217679,0.15089204530529932,0.020972120422231264,-0.12815527835129123,0.031331775105356785,-0.053347342783070614,-0.20446094204568102,-0.09395073084954947,-0.1017591268486299,-0.1363625397948183
2022-07-29,0.1390243543170433,-0.22811392924023355,0.15111386382099987,0.008821606209351246,-0.12205528673785894,0.030333594659522414,-0.060334624686050754,-0.21067185213765724,-0.08158290758913649,-0.09077912297068509,-0.13059527499666415
2022-08-01,0.13225890907305476,-0.23349357859999914,0.15200113788380204,-0.003162454094169813,-0.11772983813924329,0.0305554125363745,-0.06787645277180711,-0.21566276203299525,-0.0722100242563261,-0.08035366474314154,-0.1260480085211964
2022-08-02,0.12527164595221413,-0.2387068368837737,0.15333204897800534,-0.01520198692078347,-0.1114080286489589,0.0305554125363745,-0.07730373787900252,-0.22098639925468913,-0.06488908014824611,-0.06948456999527698,-0.12005892584619017
2022-08-03,0.1185062007082256,-0.24369833639117333,0.1525556841730534,-0.027186019329542527,-0.10386622083598808,0.031997228735913034,-0.08717465993241891,-0.22431367251824783,-0.05773464310626,-0.05795002046693091,-0.11307166272534955
2022-08-04,0.11129711971053288,-0.24874534335785442,0.14579021944418663,-0.03894806644565307,-0.09743350240727766,0.04109176168684846,-0.09748921893205627,-0.22342639964796554,-0.05180034261406998,-0.044197288336979855,-0.10641712641978705
2022-08-05,0.10430985658969226,-0.2529599402836893,0.13725020658971546,-0.05032174119614024,-0.08778442476421204,0.050297203576209926,-0.1050310470178126,-0.22043185371076268,-0.04553325137479076,-0.030555465337109032,-0.09687895771514744
2022-08-08,0.09710077559199953,-0.2576184101416325,0.13004110482944758,-0.06158462052411923,-0.08135170633550161,0.05495537899010367,-0.11190741968423751,-0.2172154895559893,-0.04031994366561861,-0.018355461028281467,-0.0908898750401412
2022-08-09,0.09199896442440161,-0.26227702037562806,0.12383018638983218,-0.0728477014826975,-0.07658262198318182,0.05695173988177243,-0.11778560922166526,-0.2153300347066394,-0.03560578243923954,-0.007264548020256412,-0.08656442644152557
2022-08-10,0.08589897281096932,-0.2687657475707955,0.12005927162292282,-0.08460994022654086,-0.07225717338456618,0.0587262828965891,-0.12444016341497968,-0.21521912559785408,-0.031224331566095755,0.003937274117848895,-0.08257170465818806
