model,coverage,val_thr,val_P,val_R,val_C,test_thr,test_P,test_R,test_C
xgb,0.05,1.0,0.7428571428571429,0.7027027027027027,0.21212121212121213,1.0,0.3333333333333333,0.10810810810810811,0.07228915662650602
lgbm,0.05,0.999999999999999,0.88,0.5945945945945946,0.15151515151515152,0.9675540079808185,0.4444444444444444,0.10810810810810811,0.05421686746987952
xgb,0.1,1.0,0.7428571428571429,0.7027027027027027,0.21212121212121213,0.9299454092979431,0.4117647058823529,0.1891891891891892,0.10240963855421686
lgbm,0.1,0.999999999999999,0.88,0.5945945945945946,0.15151515151515152,0.8984745519352199,0.47058823529411764,0.21621621621621623,0.10240963855421686
